Title,Director,Genre,Cast,combined
102 dalmatians,kevin lima,comedy  family,glenn close  gérard depardieu  alice evans,102 dalmatians kevin lima comedy  family glenn close  gérard depardieu  alice evans
28 days,betty thomas,drama,sandra bullock  viggo mortensen,28 days betty thomas drama sandra bullock  viggo mortensen
3 strikes,dj pooh,comedy,brian hooks  n'bushe wright,3 strikes dj pooh comedy brian hooks  n'bushe wright
the 6th day,roger spottiswoode,science fiction,arnold schwarzenegger  robert duvall,the 6th day roger spottiswoode science fiction arnold schwarzenegger  robert duvall
across the line,martin spottl,thriller,brad johnson  adrienne barbeau  brian bloom,across the line martin spottl thriller brad johnson  adrienne barbeau  brian bloom
adventures in wild california,greg macgillivray,documentary,jimmy smits (narrator),adventures in wild california greg macgillivray documentary jimmy smits (narrator)
the adventures of rocky and bullwinkle,des mcanuff,comedy,rene russo  jason alexander  robert de niro  piper perabo  june foray  keith scott,the adventures of rocky and bullwinkle des mcanuff comedy rene russo  jason alexander  robert de niro  piper perabo  june foray  keith scott
all the pretty horses,billy bob thornton,western,matt damon  penélope cruz  henry thomas  lucas black  rubén blades  míriam colón  bruce dern,all the pretty horses billy bob thornton western matt damon  penélope cruz  henry thomas  lucas black  rubén blades  míriam colón  bruce dern
almost famous,cameron crowe,comedy  drama,billy crudup  frances mcdormand  kate hudson  jason lee  patrick fugit  anna paquin  fairuza balk,almost famous cameron crowe comedy  drama billy crudup  frances mcdormand  kate hudson  jason lee  patrick fugit  anna paquin  fairuza balk
american psycho,mary harron,comedy  thriller,christian bale  chloë sevigny  willem dafoe,american psycho mary harron comedy  thriller christian bale  chloë sevigny  willem dafoe
animal factory,steve buscemi,crime drama,willem dafoe  edward furlong  mickey rourke,animal factory steve buscemi crime drama willem dafoe  edward furlong  mickey rourke
the art of war,christian duguay,action,wesley snipes  donald sutherland,the art of war christian duguay action wesley snipes  donald sutherland
autumn in new york,joan chen,romance,richard gere  winona ryder,autumn in new york joan chen romance richard gere  winona ryder
bait,antoine fuqua,action,jamie foxx  david morse  kimberly elise,bait antoine fuqua action jamie foxx  david morse  kimberly elise
the ballad of ramblin' jack,aiyana elliott,documentary,ramblin' jack elliott,the ballad of ramblin' jack aiyana elliott documentary ramblin' jack elliott
bamboozled,spike lee,satire,damon wayans  jada pinkett smith  savion glover  michael rapaport  tommy davidson,bamboozled spike lee satire damon wayans  jada pinkett smith  savion glover  michael rapaport  tommy davidson
battlefield earth,roger christian,science fiction,john travolta  forest whitaker  barry pepper,battlefield earth roger christian science fiction john travolta  forest whitaker  barry pepper
the beach,danny boyle,adventure,leonardo dicaprio  virginie ledoyen  tilda swinton,the beach danny boyle adventure leonardo dicaprio  virginie ledoyen  tilda swinton
beat,gary walkow,drama,courtney love  kiefer sutherland,beat gary walkow drama courtney love  kiefer sutherland
beautiful,sally field,comedy,minnie driver  hallie kate eisenberg  kathleen turner,beautiful sally field comedy minnie driver  hallie kate eisenberg  kathleen turner
beautiful joe,stephen metcalfe,comedy  drama,sharon stone  billy connolly,beautiful joe stephen metcalfe comedy  drama sharon stone  billy connolly
bedazzled,harold ramis,comedy,brendan fraser  elizabeth hurley,bedazzled harold ramis comedy brendan fraser  elizabeth hurley
before night falls,julian schnabel,biography,javier bardem  johnny depp,before night falls julian schnabel biography javier bardem  johnny depp
best in show,christopher guest,mockumentary,parker posey  michael mckean  catherine o'hara  eugene levy  michael hitchcock  jennifer coolidge,best in show christopher guest mockumentary parker posey  michael mckean  catherine o'hara  eugene levy  michael hitchcock  jennifer coolidge
big momma's house,raja gosnell,comedy,martin lawrence  paul giamatti,big momma's house raja gosnell comedy martin lawrence  paul giamatti
the big tease,kevin allen,comedy,craig ferguson  frances fisher  mary mccormack,the big tease kevin allen comedy craig ferguson  frances fisher  mary mccormack
bless the child,chuck russell,thriller,kim basinger  jimmy smits  christina ricci,bless the child chuck russell thriller kim basinger  jimmy smits  christina ricci
boiler room,ben younger,drama,giovanni ribisi  nia long  vin diesel  ben affleck,boiler room ben younger drama giovanni ribisi  nia long  vin diesel  ben affleck
book of shadows: blair witch 2,joe berlinger,horror,kim director  jeffrey donovan  erica leerhsen,book of shadows: blair witch 2 joe berlinger horror kim director  jeffrey donovan  erica leerhsen
bounce,don roos,drama,ben affleck  gwyneth paltrow,bounce don roos drama ben affleck  gwyneth paltrow
boys and girls,robert iscove,comedy,claire forlani  freddie prinze  jr.  jason biggs,boys and girls robert iscove comedy claire forlani  freddie prinze  jr.  jason biggs
bring it on,peyton reed,comedy,kirsten dunst  eliza dushku  gabrielle union  jesse bradford,bring it on peyton reed comedy kirsten dunst  eliza dushku  gabrielle union  jesse bradford
the broken hearts club: a romantic comedy,greg berlanti,comedy,ben weber  timothy olyphant  zach braff,the broken hearts club: a romantic comedy greg berlanti comedy ben weber  timothy olyphant  zach braff
brother,takeshi kitano,crime drama,takeshi kitano  omar epps,brother takeshi kitano crime drama takeshi kitano  omar epps
cast away,robert zemeckis,adventure,tom hanks  helen hunt,cast away robert zemeckis adventure tom hanks  helen hunt
cecil b. demented,john waters,comedy,melanie griffith  stephen dorff  alicia witt  adrian grenier  maggie gyllenhaal,cecil b. demented john waters comedy melanie griffith  stephen dorff  alicia witt  adrian grenier  maggie gyllenhaal
the cell,tarsem singh,science fiction,jennifer lopez  vince vaughn  vincent d'onofrio,the cell tarsem singh science fiction jennifer lopez  vince vaughn  vincent d'onofrio
center stage,nicholas hytner,musical,amanda schull  peter gallagher  ethan stiefel,center stage nicholas hytner musical amanda schull  peter gallagher  ethan stiefel
charlie's angels,mcg,action,drew barrymore  cameron diaz  lucy liu  bill murray  sam rockwell  tim curry  crispin glover,charlie's angels mcg action drew barrymore  cameron diaz  lucy liu  bill murray  sam rockwell  tim curry  crispin glover
cherry falls,geoffrey wright,thriller,brittany murphy  michael biehn  jesse bradford,cherry falls geoffrey wright thriller brittany murphy  michael biehn  jesse bradford
chinese coffee,al pacino,drama,al pacino  jerry orbach,chinese coffee al pacino drama al pacino  jerry orbach
chocolat,lasse hallström,romance,juliette binoche  judi dench  alfred molina  lena olin  johnny depp,chocolat lasse hallström romance juliette binoche  judi dench  alfred molina  lena olin  johnny depp
a chronicle of corpses,andrew repasky mcelhinney,drama  horror  period,marj dusay  oliver wyman  margot white  ryan foley  kevin mitchell martin  david semonin,a chronicle of corpses andrew repasky mcelhinney drama  horror  period marj dusay  oliver wyman  margot white  ryan foley  kevin mitchell martin  david semonin
chuck & buck,miguel arteta,comedy,chris weitz  mike white  maya rudolph,chuck & buck miguel arteta comedy chris weitz  mike white  maya rudolph
the contender,rod lurie,drama,joan allen  jeff bridges  gary oldman  christian slater  sam elliott  kathryn morris  mike binder,the contender rod lurie drama joan allen  jeff bridges  gary oldman  christian slater  sam elliott  kathryn morris  mike binder
coyote ugly,david mcnally,comedy,piper perabo  adam garcia  tyra banks  john goodman,coyote ugly david mcnally comedy piper perabo  adam garcia  tyra banks  john goodman
"crouching tiger, hidden dragon",ang lee,action,chow yun-fat  michelle yeoh  zhang ziyi  chang chen,"crouching tiger, hidden dragon ang lee action chow yun-fat  michelle yeoh  zhang ziyi  chang chen"
