Title,Director,Genre,Cast
102 Dalmatians,Kevin Lima,"Comedy, family","Glenn Close, Gérard Depardieu, Alice Evans"
28 Days,Betty Thomas,Drama,"Sandra Bullock, Viggo Mortensen"
3 Strikes,DJ Pooh,Comedy,"Brian Hooks, N'Bushe Wright"
The 6th Day,Roger Spottiswoode,Science fiction,"Arnold Schwarzenegger, Robert Duvall"
Across the Line,Martin Spottl,Thriller,"Brad Johnson, Adrienne Barbeau, Brian Bloom"
Adventures in Wild California,Greg MacGillivray,Documentary,Jimmy Smits (Narrator)
The Adventures of Rocky and Bullwinkle,Des McAnuff,Comedy,"Rene Russo, Jason Alexander, Robert De Niro, Piper Perabo, June Foray, Keith Scott"
All the Pretty Horses,Billy Bob Thornton,Western,"Matt Damon, Penélope Cruz, Henry Thomas, Lucas Black, Rubén Blades, Míriam Colón, Bruce Dern"
Almost Famous,Cameron Crowe,"Comedy, Drama","Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Anna Paquin, Fairuza Balk"
American Psycho,Mary Harron,"Comedy, Thriller","Christian Bale, Chloë Sevigny, Willem Dafoe"
Animal Factory,Steve Buscemi,Crime drama,"Willem Dafoe, Edward Furlong, Mickey Rourke"
The Art of War,Christian Duguay,Action,"Wesley Snipes, Donald Sutherland"
Autumn in New York,Joan Chen,Romance,"Richard Gere, Winona Ryder"
Bait,Antoine Fuqua,Action,"Jamie Foxx, David Morse, Kimberly Elise"
The Ballad of Ramblin' Jack,Aiyana Elliott,Documentary,Ramblin' Jack Elliott
Bamboozled,Spike Lee,Satire,"Damon Wayans, Jada Pinkett Smith, Savion Glover, Michael Rapaport, Tommy Davidson"
Battlefield Earth,Roger Christian,Science fiction,"John Travolta, Forest Whitaker, Barry Pepper"
The Beach,Danny Boyle,Adventure,"Leonardo DiCaprio, Virginie Ledoyen, Tilda Swinton"
Beat,Gary Walkow,Drama,"Courtney Love, Kiefer Sutherland"
Beautiful,Sally Field,Comedy,"Minnie Driver, Hallie Kate Eisenberg, Kathleen Turner"
Beautiful Joe,Stephen Metcalfe,"Comedy, Drama","Sharon Stone, Billy Connolly"
Bedazzled,Harold Ramis,Comedy,"Brendan Fraser, Elizabeth Hurley"
Before Night Falls,Julian Schnabel,Biography,"Javier Bardem, Johnny Depp"
Best in Show,Christopher Guest,Mockumentary,"Parker Posey, Michael McKean, Catherine O'Hara, Eugene Levy, Michael Hitchcock, Jennifer Coolidge"
Big Momma's House,Raja Gosnell,Comedy,"Martin Lawrence, Paul Giamatti"
The Big Tease,Kevin Allen,Comedy,"Craig Ferguson, Frances Fisher, Mary McCormack"
Bless the Child,Chuck Russell,Thriller,"Kim Basinger, Jimmy Smits, Christina Ricci"
Boiler Room,Ben Younger,Drama,"Giovanni Ribisi, Nia Long, Vin Diesel, Ben Affleck"
Book of Shadows: Blair Witch 2,Joe Berlinger,Horror,"Kim Director, Jeffrey Donovan, Erica Leerhsen"
Bounce,Don Roos,Drama,"Ben Affleck, Gwyneth Paltrow"
Boys and Girls,Robert Iscove,Comedy,"Claire Forlani, Freddie Prinze, Jr., Jason Biggs"
Bring It On,Peyton Reed,Comedy,"Kirsten Dunst, Eliza Dushku, Gabrielle Union, Jesse Bradford"
The Broken Hearts Club: A Romantic Comedy,Greg Berlanti,Comedy,"Ben Weber, Timothy Olyphant, Zach Braff"
Brother,Takeshi Kitano,Crime drama,"Takeshi Kitano, Omar Epps"
Cast Away,Robert Zemeckis,Adventure,"Tom Hanks, Helen Hunt"
Cecil B. Demented,John Waters,Comedy,"Melanie Griffith, Stephen Dorff, Alicia Witt, Adrian Grenier, Maggie Gyllenhaal"
The Cell,Tarsem Singh,Science fiction,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio"
Center Stage,Nicholas Hytner,Musical,"Amanda Schull, Peter Gallagher, Ethan Stiefel"
Charlie's Angels,McG,Action,"Drew Barrymore, Cameron Diaz, Lucy Liu, Bill Murray, Sam Rockwell, Tim Curry, Crispin Glover"
Cherry Falls,Geoffrey Wright,Thriller,"Brittany Murphy, Michael Biehn, Jesse Bradford"
Chinese Coffee,Al Pacino,Drama,"Al Pacino, Jerry Orbach"
Chocolat,Lasse Hallström,Romance,"Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp"
A Chronicle of Corpses,Andrew Repasky McElhinney,"Drama, Horror, Period","Marj Dusay, Oliver Wyman, Margot White, Ryan Foley, Kevin Mitchell Martin, David Semonin"
Chuck & Buck,Miguel Arteta,Comedy,"Chris Weitz, Mike White, Maya Rudolph"
The Contender,Rod Lurie,Drama,"Joan Allen, Jeff Bridges, Gary Oldman, Christian Slater, Sam Elliott, Kathryn Morris, Mike Binder"
Coyote Ugly,David McNally,Comedy,"Piper Perabo, Adam Garcia, Tyra Banks, John Goodman"
"Crouching Tiger, Hidden Dragon",Ang Lee,Action,"Chow Yun-fat, Michelle Yeoh, Zhang Ziyi, Chang Chen"
The Crew,Michael Dinner,Comedy,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya"
The Crossing,Robert Harmon,Historical Drama,"Jeff Daniels, Roger Rees, Sebastian Roché, Steven McCarthy"
Dancer in the Dark,Lars von Trier,Musical drama,"Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey"
Digimon: The Movie,"Mamoru Hosoda, Minoru Hosoda","Animation, Adventure","Lara Jill Miller, Joshua Seth, Bob Glouberman"
Dinosaur,"Eric Leighton, Ralph Zondag",Animation,"D. B. Sweeney, Alfre Woodard, Ossie Davis"
Down to You,Kris Isacsson,Comedy,"Freddie Prinze, Jr., Julia Stiles"
Dr. T & the Women,Robert Altman,Romantic comedy,"Richard Gere, Helen Hunt, Farrah Fawcett, Laura Dern, Shelley Long, Tara Reid, Kate Hudson"
Dracula 2000,Patrick Lussier,Horror,"Gerard Butler, Christopher Plummer, Jonny Lee Miller"
Drowning Mona,Nick Gomez,Comedy,"Bette Midler, Jamie Lee Curtis, Danny DeVito, Neve Campbell"
"Dude, Where's My Car?",Danny Leiner,Comedy,"Ashton Kutcher, Seann William Scott"
Duets,Bruce Paltrow,"Drama, Musical","Maria Bello, Andre Braugher, Paul Giamatti, Huey Lewis, Gwyneth Paltrow, Angie Dickinson"
Dungeons & Dragons,Courtney Solomon,fantasy,"Jeremy Irons, Thora Birch, Tom Baker, Marlon Wayans"
The Emperor's New Groove,Mark Dindal,Animation,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick"
Erin Brockovich,Steven Soderbergh,Biography,"Julia Roberts, Albert Finney, Aaron Eckhart"
An Everlasting Piece,Barry Levinson,Comedy,"Barry McEvoy, Brían F. O'Byrne, Anna Friel, Billy Connolly"
The Eyes of Tammy Faye,"Fenton Bailey, Randy Barbato",Documentary,"Tammy Faye Bakker, RuPaul"
Fail Safe,Stephen Frears,"Drama, Thriller","Walter Cronkite, Richard Dreyfuss, Noah Wyle"
The Family Man,Brett Ratner,Drama,"Nicolas Cage, Téa Leoni, Don Cheadle"
Final Destination,James Wong,Horror,"Devon Sawa, Ali Larter, Kerr Smith, Seann William Scott"
Finding Forrester,Gus Van Sant,Drama,"Sean Connery, Rob Brown, Anna Paquin"
The Flintstones in Viva Rock Vegas,Brian Levant,Comedy,"Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski, Alan Cumming, Joan Collins, Harvey Korman"
For Love or Country: The Arturo Sandoval Story,Joseph Sargent,Biography,"Andy García, Mía Maestro, Gloria Estefan"
Frequency,Gregory Hoblit,Science fiction,"Dennis Quaid, James Caviezel"
Get Carter,Stephen T. Kay,Action,"Sylvester Stallone, Rhona Mitra, Michael Caine, Rachael Leigh Cook, Miranda Richardson, Mickey Rourke"
The Gift,Sam Raimi,Thriller,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank"
The Girl,Sande Zeig,Romance,"Claire Keim, Agathe De La Boulaye"
Girlfight,Karyn Kusama,Drama,"Michelle Rodriguez, Paul Calderón"
Gladiator,Ridley Scott,"Action, Drama, Epic,","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Richard Harris, Djimon Hounsou, Oliver Reed"
The Golden Bowl,James Ivory,Drama,"Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte"
Gone in 60 Seconds,Dominic Sena,Action,"Nicolas Cage, Giovanni Ribisi, Angelina Jolie, Robert Duvall"
Gossip,Davis Guggenheim,Drama,"James Marsden, Lena Headey, Norman Reedus, Kate Hudson, Marisa Coughlan, Joshua Jackson"
Gun Shy,Eric Blakeney,Action,"Liam Neeson, Oliver Platt, Andrew Lauer"
Hamlet,Michael Almereyda,Drama,"Ethan Hawke, Diane Venora, Julia Stiles"
Hanging Up,Diane Keaton,Comedy,"Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau"
Held Up,Steve Rash,Comedy,"Jamie Foxx, Nia Long"
Here on Earth,Mark Piznarski,Drama,"Chris Klein, Leelee Sobieski, Josh Hartnett"
High Fidelity,Stephen Frears,Comedy,"John Cusack, Jack Black, Lisa Bonet, Joan Cusack, Iben Hjejle, Lili Taylor"
Highlander: Endgame,Douglas Aarniokoski,Science fiction,"Adrian Paul, Christopher Lambert"
Hollow Man,Paul Verhoeven,"Science fiction, Horror","Elisabeth Shue, Kevin Bacon, Josh Brolin"
The House of Mirth,Terence Davies,Drama,"Gillian Anderson, Laura Linney, Dan Aykroyd"
How the Grinch Stole Christmas,Ron Howard,"Family, Fantasy","Jim Carrey, Christine Baranski, Jeffrey Tambor, Molly Shannon, Taylor Momsen"
How to Kill Your Neighbor's Dog,Michael Kalesniko,Comedy,"Kenneth Branagh, Robin Wright Penn"
I Dreamed of Africa,Hugh Hudson,Drama,"Kim Basinger, Eva Marie Saint"
Icebreaker,David Giancola,Action,"Sean Astin, Stacy Keach, Bruce Campbell"
The In Crowd,Mary Lambert,Thriller,"Susan Ward, Lori Heuring, Matthew Settle"
Into the Arms of Strangers: Stories of the Kindertransport,Mark Jonathan Harris,Documentary,the kindertransport
Isn't She Great,Andrew Bergman,"Biography, Comedy","Bette Midler, Nathan Lane, John Cleese, Stockard Channing, David Hyde Pierce, Amanda Peet"
Ivans Xtc,Bernard Rose,Drama,"Danny Huston, Peter Weller"
Joe Gould's Secret,Stanley Tucci,Drama,"Ian Holm, Stanley Tucci, Hope Davis"
Just One Night,Alan Jacobs,Comedy,"Timothy Hutton, Maria Grazia Cucinotta"
Keeping the Faith,Edward Norton,Comedy,"Ben Stiller, Jenna Elfman, Edward Norton"
The Kid,Jon Turteltaub,Family,"Bruce Willis, Lily Tomlin, Jean Smart, Spencer Breslin"
The Ladies Man,Reginald Hudlin,Comedy,"Tim Meadows, Billy Dee Williams, Will Ferrell"
The Last Producer,Burt Reynolds,Drama,"Burt Reynolds, Rod Steiger, Benjamin Bratt"
Legacy,Tod Lending,Documentary,life in Chicago ghettos
The Legend of Bagger Vance,Robert Redford,Drama,"Matt Damon, Will Smith, Charlize Theron, Jack Lemmon"
Little Nicky,Steven Brill,Comedy,"Adam Sandler, Patricia Arquette, Harvey Keitel"
The Little Vampire,Uli Edel,Comedy,"Jonathan Lipnicki, Richard E. Grant, Rollo Weeks"
Long Night's Journey into Day,"Deborah Hoffmann, Frances Reid",Documentary,the Truth and Reconciliation Commission in post-Apartheid South Africa
Loser,Amy Heckerling,Comedy,"Jason Biggs, Mena Suvari, Greg Kinnear"
Lost Souls,Janusz Kamiński,Horror,"Winona Ryder, Ben Chaplin"
Love & Basketball,Gina Prince-Bythewood,Drama,"Omar Epps, Sanaa Lathan, Dennis Haysbert"
Lucky Numbers,Nora Ephron,Crime,"John Travolta, Lisa Kudrow, Tim Roth, Michael Moore"
Maryam,Ramin Serry,Drama,"Mariam Parris, Shaun Toub, Shohreh Aghdashloo"
Maze,Rob Morrow,Drama,"Rob Morrow, Laura Linney, Craig Sheffer"
"Me, Myself & Irene",Peter and Bobby Farrelly,Comedy,"Jim Carrey, Renée Zellweger, Robert Forster, Chris Cooper"
Meet the Parents,Jay Roach,Comedy,"Ben Stiller, Robert De Niro, Blythe Danner, Teri Polo, Owen Wilson"
Memento,Christopher Nolan,Thriller,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Men of Honor,"George Tillman, Jr.",Biography,"Robert De Niro, Cuba Gooding, Jr., Charlize Theron"
Mercy Streets,John Gunn,Action,"Eric Roberts, Cynthia Watros, Stacy Keach"
The Million Dollar Hotel,Wim Wenders,Drama,"Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits"
Miss Congeniality,Donald Petrie,Comedy,"Sandra Bullock, Benjamin Bratt, Michael Caine, William Shatner, Candice Bergen"
Mission to Mars,Brian De Palma,Science fiction,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen, Jerry O'Connell, Kim Delaney"
Mission: Impossible 2,John Woo,Action,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, Brendan Gleeson"
My Dog Skip,Jay Russell,Family,"Frankie Muniz, Diane Lane, Luke Wilson, Kevin Bacon"
My 5 Wives,Sidney J. Furie,Comedy,"Rodney Dangerfield, Jerry Stiller, Molly Shannon"
The Next Best Thing,John Schlesinger,Comedy,"Rupert Everett, Madonna, Benjamin Bratt"
Next Friday,Steve Carr,Comedy,"Ice Cube, Mike Epps, Don Curry"
Nothin' 2 Lose,Barry Bowles,Comedy,Brian Hooks
Nutty Professor II: The Klumps,Peter Segal,Comedy,"Eddie Murphy, Janet Jackson, Larry Miller, Wanda Sykes"
Nurse Betty,Neil LaBute,Comedy,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear"
"O Brother, Where Art Thou?",Joel and Ethan Coen,Comedy,"George Clooney, Tim Blake Nelson, John Turturro, Holly Hunter, John Goodman, Charles Durning"
The Opportunists,Myles Connell,Crime drama,"Christopher Walken, Vera Farmiga, Cyndi Lauper"
The Original Kings of Comedy,Spike Lee,Documentary,"stand-up comedy of Steve Harvey, D. L. Hughley, Cedric the Entertainer, Bernie Mac"
Our Song,Jim McKay,Drama,"Kerry Washington, Melissa Martinez"
Panic,Henry Bromell,Crime drama,"William H. Macy, Neve Campbell, Donald Sutherland"
Passion of Mind,Alain Berliner,Drama,"Demi Moore, Stellan Skarsgård"
The Patriot,Roland Emmerich,War,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs, Chris Cooper, Tom Wilkinson"
Pay It Forward,Mimi Leder,Drama,"Haley Joel Osment, Helen Hunt, Kevin Spacey, James Caviezel, Angie Dickinson, Jon Bon Jovi"
The Perfect Storm,Wolfgang Petersen,Adventure,"George Clooney, Mark Wahlberg, Diane Lane, Mary Elizabeth Mastrantonio, John C. Reilly, Karen Allen"
Picking Up the Pieces,Alfonso Aráu,Comedy,"Woody Allen, Sharon Stone, David Schwimmer"
Pitch Black,David Twohy,Science fiction,"Vin Diesel, Keith David, Cole Hauser"
Pollock,Ed Harris,Biography,"Ed Harris, Marcia Gay Harden, Jennifer Connelly"
Poor White Trash,Michael Addis,Comedy,"Sean Young, William Devane"
Price of Glory,Carlos Ávila,Drama,Jimmy Smits
Prince of Central Park,John Leekley,Family,"Kathleen Turner, Danny Aiello, Harvey Keitel"
Proof of Life,Taylor Hackford,Drama,"Russell Crowe, Meg Ryan, David Morse"
Psycho Beach Party,Robert Lee King,Comedy,"Thomas Gibson, Lauren Ambrose, Charles Busch"
Quills,Philip Kaufman,"Drama, Biography","Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine"
Ready to Rumble,Brian Robbins,Comedy,"David Arquette, Oliver Platt, Scott Caan"
Reckless Indifference,William Gazecki,Documentary,underage murder
Red Planet,Antony Hoffman,Science fiction,"Val Kilmer, Carrie-Anne Moss, Tom Sizemore"
Reindeer Games,John Frankenheimer,Crime drama,"Ben Affleck, Gary Sinise, Charlize Theron"
Remember the Titans,Boaz Yakin,Drama,"Denzel Washington, Will Patton"
The Replacements,Howard Deutch,Comedy,"Keanu Reeves, Gene Hackman, Brooke Langton"
Requiem for a Dream,Darren Aronofsky,Drama,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
Return to Me,Bonnie Hunt,Romance,"Minnie Driver, David Duchovny, Carroll O'Connor"
The Road to El Dorado,"Bibo Bergeron, Will Finn",Animation,"Kevin Kline, Kenneth Branagh, Rosie Perez"
Road Trip,Todd Phillips,Comedy,"Breckin Meyer, Seann William Scott, Tom Green, DJ Qualls, Amy Smart"
Romeo Must Die,Andrzej Bartkowiak,Action,"Jet Li, Aaliyah, Delroy Lindo"
Rugrats in Paris: The Movie,"Stig Berggvist, Paul Demeyer",Animation,"Elizabeth Daily, Tara Strong, Cheryl Chase"
Rules of Engagement,William Friedkin,War,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce"
A Rumor of Angels,Peter O'Fallon,Drama,"Vanessa Redgrave, Ray Liotta, Catherine McCormack, Ron Livingston"
The Scarecrow,Richard Rich,"Animation, Fantasy","Shawn Hoffman, Belinda Montgomery, Ray Porter, Corey Feldman"
Scary Movie,Keenen Ivory Wayans,Comedy,"Marlon Wayans, Anna Faris, Carmen Electra"
Scottsboro: An American Tragedy,"Daniel Anker, Barak Goodman",Documentary,the Scottsboro Boys case
Scream 3,Wes Craven,Horror,"David Arquette, Neve Campbell, Courteney Cox, Patrick Dempsey, Scott Foley, Emily Mortimer"
Screwed,Scott Alexander and Larry Karaszewski,Comedy,"Norm Macdonald, Dave Chappelle, Danny DeVito"
Seventeen Again,Jeffrey W. Byrd,Comedy,"Tamera Mowry, Tia Mowry, Maia Campbell"
Sexy Beast,Jonathan Glazer,Crime drama,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman, James Fox"
Shadow of the Vampire,E. Elias Merhige,Drama,"John Malkovich, Willem Dafoe"
Shaft,John Singleton,Action,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Richard Roundtree, Christian Bale"
Shanghai Noon,Tom Dey,Comedy,"Jackie Chan, Owen Wilson, Lucy Liu"
Shriek If You Know What I Did Last Friday the Thirteenth,John Blanchard,Comedy,"Tiffani-Amber Thiessen, Tom Arnold, Majandra Delfino"
The Skulls,Rob Cohen,Thriller,"Joshua Jackson, Paul Walker"
Small Time Crooks,Woody Allen,Comedy,"Woody Allen, Hugh Grant, Tracey Ullman"
The Smokers,Kat Slater,Drama,"Dominique Swain, Busy Philipps, Keri Lynn Pratt, Nicholas M. Loeb, Oliver Hudson"
Snatch,Guy Ritchie,Crime,"Benicio del Toro, Jason Statham, Brad Pitt, Stephen Graham, Dennis Farina"
Snow Day,Chris Koch,Comedy,"Chevy Chase, Chris Elliott, Mark Webber"
Songcatcher,Maggie Greenwald,Drama,"Janet McTeer, Aidan Quinn"
Sound and Fury,Josh Aronson,Documentary,"conflict between cochlear implants, deaf identity"
Space Cowboys,Clint Eastwood,Drama,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, Marcia Gay Harden, James Cromwell, Loren Dean, Courtney B. Vance, William Devane"
The Specials,Craig Mazin,Comedy,"Thomas Haden Church, Rob Lowe, Jamie Kennedy"
Steal This Movie!,Robert Greenwald,Biography,"Vincent D'Onofrio, Janeane Garofalo"
Supernova,Walter Hill,Science fiction,"James Spader, Angela Bassett"
The Tao of Steve,Jenniphr Goodman,Comedy,Donal Logue
Terror Tract,Lance W. Dreesen,"Comedy, horror","John Ritter, David DeLuise, Allison Smith"
Things You Can Tell Just by Looking at Her,Rodrigo García,Romance,"Glenn Close, Cameron Diaz, Calista Flockhart, Kathy Baker, Amy Brenneman"
Thirteen Days,Roger Donaldson,Drama,"Kevin Costner, Bruce Greenwood, Dylan Baker, Steven Culp, Len Cariou, Kevin Conway"
